4663,5753
4468,6544
4554,7335
4343,8730
4538,9605
4557,10710
4414,11523
4568,12617
4793,13568
4554,14705
4444,15599
4611,16389
4696,17458
4591,18586
4545,19497
4640,20632
4457,21327
4139,22530
4663,23573
4785,24363
4696,25566
4847,26294
4726,27471
4801,28527
4749,29271
4772,30812
4408,31537
4940,32573
4719,33717
4814,34504
4959,35445
4820,36961
4529,37250
5331,5886
5596,6611
5246,7449
5274,8226
5092,9904
5696,10498
5288,11695
5617,12506
5381,13339
5489,14518
5421,15704
5238,16465
5814,17841
5485,18570
5242,19345
5592,20442
5306,21610
5506,22461
5589,23586
5474,24580
5317,25551
5342,26480
5299,27270
5610,28324
5406,29389
5617,30650
5467,31432
5517,32722
5267,33301
5692,34419
5621,35277
5814,36342
5360,37128
6625,5897
6706,6369
6218,7608
6325,8083
6773,9746
6353,10278
6448,11257
6163,12801
6554,13627
6560,14187
6534,15552
6857,16244
6286,17295
6308,18816
6551,19747
6564,20907
6687,21400
6493,22363
6482,23749
6689,24303
6258,25652
6689,26520
6812,27856
6478,28104
6556,29244
6726,30834
6648,31900
6230,32523
6142,33323
6433,34372
6721,35559
6499,36507
6581,37378
7828,5652
7652,6744
7710,7259
7224,8672
7633,9635
7462,10549
7250,11948
7485,12391
7207,13221
7283,14637
7660,15840
7437,16476
7593,17392
7910,18739
7934,19195
7322,20386
7269,21455
7410,22086
7328,23687
7440,24572
7246,25719
7302,26895
7567,27440
7261,28314
7765,29161
7393,30083
7690,31200
7252,32410
7771,33569
7469,34506
7235,35538
7840,36359
7354,37573
8505,5959
8208,6415
8924,7707
8268,8517
8712,9497
8584,10489
8817,11556
8839,12636
8419,13152
8243,14341
8648,15791
8478,16775
8365,17632
8737,18710
8338,19724
8090,20231
8182,21206
8144,22220
8171,23174
8845,24161
8365,25713
8656,26678
8365,27228
8548,28139
8309,29602
8241,30813
8354,31665
8586,32620
8865,33299
8379,34705
8268,35739
8261,36584
8766,37574
9488,5750
9646,6608
9596,7313
9182,8729
9438,9478
9409,10538
9453,11648
9320,12624
9473,13522
9148,14306
9512,15367
9246,16318
9552,17186
9527,18665
9813,19612
9483,20283
9389,21841
9448,22241
9636,23094
9389,24485
9936,25892
9560,26187
9068,27616
9470,28487
9466,29547
9289,30221
9616,31676
9347,32703
9450,33123
9505,34116
9730,35396
9749,36720
9553,37498
10620,5649
10767,6740
10829,7220
10659,8277
10524,9633
10326,10531
10377,11876
10405,12441
10399,13685
10620,14589
10366,15465
10789,16668
10755,17166
10298,18629
10202,19194
10405,20613
10580,21590
